23298	19054
23298	24795
23298	8178
19054	15497
15497	25141
15497	11249
15497	18559
15497	240
24795	8178
17545	2
17545	4157
17545	441
17545	18403
2	19242
15009	2984
15009	23198
15009	1486
15009	26581
15009	9316
15009	9471
15009	6348
15009	4694
15009	16384
15009	13836
13521	8
6441	9
6441	6610
6441	15256
6441	23496
6610	2520
11	1571
11	13400
20054	9685
20054	25871
20054	7565
20054	8886
20054	17223
20054	8919
20054	13
20054	24806
20054	9991
20054	1262
9685	1834
9685	20740
9685	15013
9685	5340
9685	26351
9068	13
9068	7073
9068	24807
9068	429
9068	1157
9068	11892
9068	1349
9068	1393
9068	2971
9068	5514
9068	26122
9068	3462
9068	8903
9068	5835
9068	15677
9068	11205
9068	3125
9068	6731
9068	397
9068	18003
9068	8573
9068	15287
9068	11816
9068	14582
9068	24640
9068	14266
9068	5472
9068	15640
9068	15855
9068	4547
9068	24149
9068	23957
9068	12580
9068	24213
9068	22284
9068	20866
9068	240
9068	17546
9068	9607
9068	1851
9068	8857
9068	24045
9068	24601
9068	10979
9068	9740
9068	2881
9068	21115
9068	9051
9068	12165
9068	7336
9068	26323
14	1389
1389	1283
16	21940
21940	9551
21940	16993
23703	18
20	2591
10802	19236
10802	21
10802	14609
10802	8362
2246	22
23	8534
18359	24
18359	10647
18359	17758
24	10647
1326	17860
17860	19501
17860	7616
17860	15003
17860	16549
17860	4101
17860	9033
17860	11599
17860	26446
25	4403
25	46
4403	4755
4403	4280
4403	5707
4403	19825
4403	5541
4403	4185
4403	13979
4403	4429
4403	20562
4403	13450
4403	14051
4403	20612
4403	3386
4403	19997
4403	14758
4403	19164
4403	19700
4403	25093
4403	20842
4403	25556
4403	385
26	23306
26	20708
23306	10344
23306	25402
30	18814
30	9430
18814	9430
18814	6498
18814	5074
18814	11557
18814	20029
18814	21725
21046	4755
21046	31
21046	20375
21046	14013
21046	18886
21046	21203
4755	3932
4755	385
4755	12409
4755	19373
13632	10856
13632	4645
13632	14861
13632	18484
13632	14893
10856	18484
10856	23219
10856	23220
14360	33
14360	6154
33	6154
2109	34
2109	11380
34	23330
34	6882
3889	6081
3889	12415
6081	1543
6081	3737
6081	4896
6081	13622
6081	19758
6081	12415
6081	17377
6081	18537
6081	9386
35	17314
35	24356
17314	10864
6334	36
13355	37
24990	38
24990	3406
24990	219
38	3406
38	5836
5836	219
5836	17765
3851	40
3851	12157
3851	21950
3851	6563
3851	9056
40	7223
40	11336
40	24048
11941	15266
11941	5733
11941	1782
15266	5733
14233	17976
14233	42
17976	9295
17976	24564
17976	25364
17976	18444
2505	43
2505	13559
2505	16640
43	18837
13559	13304
18837	6298
18837	6119
9109	44
9109	23729
9109	6775
9109	15261
9109	24784
9109	381
3549	17902
3549	11665
3549	21970
3549	24620
3549	24067
17902	10657
17902	1357
17902	7184
17902	1835
17902	2769
17902	24521
17902	10296
17902	4615
17902	6363
17902	25130
17902	25540
17902	1820
17902	10656
17902	25604
17902	8871
17902	16485
17902	8966
17902	10362
17902	26366
17902	2423
17902	12026
17902	25965
17902	19451
17902	20833
17902	558
17902	21144
17902	7218
17902	23729
17902	8681
17902	24146
17902	26034
24626	3135
24626	20666
3135	183
3135	1880
3135	19514
3135	16853
3135	9078
3135	45
7675	25668
7675	10058
7675	23346
7675	20612
25668	47
25668	10058
10396	10745
10396	6717
10396	11011
10396	22217
10396	21666
10745	1972
3936	48
3936	12564
21289	49
21289	7465
21289	20549
21289	9197
21289	7602
21289	11562
21289	23789
21289	1324
21289	10687
21289	2251
21289	21891
21289	21500
21289	22341
21289	15471
21289	17756
49	17816
7478	12883
7478	905
7478	1190
7478	16441
7478	23616
7478	5503
7478	23617
7478	2924
8300	1643
8300	1217
8300	17083
8300	9180
1643	1904
51	15938
51	22659
51	21630
51	19283
51	3418
3418	19283
3418	136
3815	24083
3815	4303
3815	19013
3815	15360
3815	12657
3815	26413
3815	16793
3815	12061
3815	200
3815	26408
24083	10296
24083	15302
24083	24067
24083	7184
24083	13469
24083	26195
53	13300
53	4303
13300	19013
19645	8351
19645	17119
19645	9715
19645	20274
19645	15913
19645	22862
8351	17837
8351	16458
8351	20274
1670	1013
1670	14530
1013	10517
1013	12525
1013	15752
1013	14530
1013	15913
56	1031
56	12662
1031	12662
1031	12089
15805	23605
15805	516
15805	13033
15805	8459
15805	1044
15805	21381
23605	5808
23605	21710
23605	5586
23605	5748
23605	9440
23605	26188
17443	57
17443	2702
57	2702
7448	58
7448	59
7448	18839
7448	4343
7448	2039
7448	13717
7448	19194
7448	23825
7448	24902
17172	5831
17172	14982
17172	3376
17172	18709
17172	7694
17172	13427
17172	4067
17172	6142
17172	23484
17172	26152
5831	14362
5831	3886
5831	13112
59	23825
59	9100
21726	19144
21726	16237
21726	21927
4897	7497
4897	11680
4897	12000
4897	7149
4897	2474
4897	24272
7497	22598
22909	61
22909	24372
22909	8321
62	8642
62	7242
8642	7242
65	14387
65	9757
15752	68
15752	5340
15752	1964
15752	20069
15752	7827
15752	23629
15752	14837
15752	19015
23199	69
23199	881
23199	11532
23199	2760
23199	10849
23199	5978
23199	21776
23199	9961
23199	10950
23199	9581
23199	8271
23199	17128
23199	14151
23199	17701
23199	19379
23199	20397
23199	4406
23199	10296
23199	1734
69	11730
69	1251
69	21603
115	16485
115	6300
16485	22777
16485	2884
16485	24359
16485	18341
16485	18208
16485	11243
16485	4424
